Mine ID,Mine Name,Mine Name AKAs,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Operators,Owners,Production or Capacity Data,"Coal Output (Annual, Mt)","Coal Ouput (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Coal Type,Coal Grade,Worforce Size,Reserves Total (Proven & Probable),Proven Reserve,Probable Reserve,Resource (Measured),Resource (Indicated),Resource (Measure + Indicated),"Resource (Total - Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Coalfield,Location,County,"Prefecture, District","State, Province",Country,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Opening Year,Reported Life of Mine (Remaining)
M0221,Gaoshangou Coal Mine,达拉特旗文兴煤炭有限责任公司高山沟煤矿,https://www.gem.wiki/Gaoshangou_coal_mine,https://www.gem.wiki/达拉特旗文兴煤炭有限责任公司高山沟煤矿,Operating,,,,Dalate Wenxing Coal Company,"Inner Mongolia Huarui Mining Company (70%), Ma Tongchun (30%)",Capacity,1.2,,Surface,Open Pit,3.26,50,Estimate,Subbituminous,Thermal,,20.13,-,-,-,-,-,-,17,,,Dalate Banner,Ordos,Inner Mongolia,China,East Asia,39.874613,110.321401,Approximate,,,,,
M0222,Gaotouyao Coal Mine,内蒙古北联电能源开发有限责任公司高头窑煤矿,https://www.gem.wiki/Gaotouyao_Coal_Mine,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%8C%97%E8%81%94%E7%94%B5%E8%83%BD%E6%BA%90%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%AB%98%E5%A4%B4%E7%AA%91%E7%85%A4%E7%9F%BF,Operating,,,,Inner Mongolia Beilian Power and Energy Development Company,"China Huaneng (77%), Guangdong Hengjian Investment Holding Company (7%), National Energy Investment Group (4%), Others (12%)",Capacity,8,,Underground,,99.45,490,Estimate,Bituminous,Thermal,,766,-,-,-,-,-,-,96,,Zhaojun Town,Dalad Banner,Ordos,Inner Mongolia,China,East Asia,40.019808,109.639961,Exact,,,,2016,
M1123,Gaozhuang Coal Mine,枣庄矿业集团高庄煤业有限公司,https://www.gem.wiki/Gaozhuang_Coal_Mine,https://www.gem.wiki/%E6%9E%A3%E5%BA%84%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E9%AB%98%E5%BA%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,,,,"Zaozhuang Mining Group Gaozhuang Coal Industry Co., Ltd.","Shandong Energy Group Co., Ltd.",Capacity,3,,Underground,Longwall,33.1503,600,Exact,Bituminous,Thermal,3206,130,-,-,-,-,-,-,43,,Fucun Town,Weishan,Jining,Shandong,China,East Asia,34.853724,117.027809,Exact,,,,1997,10
M0519,Gare Palma I Opencast Coal Mine,,https://www.gem.wiki/Gare_Palma_I_coal_mine,,Proposed,Pre-Permit,New,Stage 1,Gujarat State Electricity Corporation,Gujarat State Electricity Corporation,Capacity,15,,Surface,Open Pit,35.83,50,Estimate,Subbituminous,Thermal,2775,427,-,-,1290,-,-,-,28,Mand Raigarh,,,Raigarh,Chhattisgarh,India,South Asia,22.11866,83.53358,Exact,Coal Plant,Wanakbori Thermal Power Station,https://www.gem.wiki/Wanakbori_Thermal_Power_Station,TBD,32
M0520,Gare Palma IV 1 Coal Mine,"Mine 1, Coal Block Auction 2020",https://www.gem.wiki/Gare_Palma_IV_coal_mines,,Proposed,Pre-Permit,New,,Jindal Steel & Power (JSPL),Jindal Group,Capacity,6,,Surface,Open Pit,8.85,119,Exact,Lignite,Thermal,,141,-,-,-,-,-,-,24,Mand Raigarh,,,Raigarh,Chhattisgarh,India,South Asia,22.11866,83.53358,Exact,,,,TBD,
M0521,Gare Palma IV 2&3 Coal Mine,,https://www.gem.wiki/Gare_Palma_IV_coal_mines,,Operating,,,,South Eastern Coalfields Limited (SECL),Coal India,Production,2.7,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,187.19,-,-,-,-,-,-,69,Raigarh,,,,Chhattisgarh,India,South Asia,22.1199,83.5362,Exact,,,,,
M0522,Gare Palma IV 7 Coal Mine,"Mine 7, Coal Block Auction 2020",https://www.gem.wiki/Gare_Palma_IV_coal_mines,,Proposed,Pre-Permit,New,,Sarda Energy and Minerals,Sarda Energy and Minerals,Capacity,1,,Surface,Open Pit,4.20,50,Estimate,Lignite,Thermal,,60,-,-,-,-,-,-,60,Mand Raigarh,Karwahi,Gharghora,Raigarh,Chhattisgarh,India,South Asia,22.11866,83.53358,Exact,,,,TBD,
M0523,Gare Palma IV 8 Coal Mine,Mine 8,https://www.gem.wiki/Gare_Palma_IV_coal_mines,,Proposed,Permitted,New,,Ambuja Cements,Holcim,Capacity,1.2,,Underground & Surface,Mixed,4.90,75,Exact,Lignite,Thermal,,12,-,-,-,-,-,-,10,Mand Raigarh,,,Raigarh,Chhattisgarh,India,South Asia,22.11866,83.53358,Exact,,,,TBD,
M0524,Garjanbahal Coal Mine,,https://www.gem.wiki/Garjanbahal_coal_mine,,Operating,,,,Mahanadi Coalfields Limited (MCL),Coal India,Production,7.592,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,-,,Ib Valley,,,Sundergarh,Odisha,India,South Asia,22.034519,83.74266,Exact,,,,,
M0524,Garjanbahal Coal Mine,,https://www.gem.wiki/Garjanbahal_coal_mine,,Proposed,Pre-Permit,Expansion,,Mahanadi Coalfields Limited (MCL),Coal India,Capacity,7.2,,Surface,Open Pit,5,260,Exact,Lignite,Thermal,,230,-,-,-,-,-,-,32,Ib Valley,,,Sundergarh,Odisha,India,South Asia,22.034519,83.74266,Exact,Coal Plant,Basundhara Power Station,https://www.gem.wiki/Basundhara_power_station,2030,23
M0452,Garzweiler Coal Mine,Garzweiler II,https://www.gem.wiki/Garzweiler_mine,,Operating,,,,RWE Power,RWE Power,Production,35,,Surface,Open Pit,32.00,125,Exact,Lignite,Thermal,1400,1100,-,-,-,-,-,-,31,Ruhr,"Bedburg , Grevenbroich, Jüchen , Erkelenz , M'gladbach",,,North-Rhine Westphalia,Germany,Europe (EU-27),51.0839989,6.4529844,Exact,Coal Plant,Neurath Power Station,https://www.gem.wiki/Neurath_power_station,"1,940",25
M1027,Gateway North Coal Mine,,https://www.gem.wiki/Gateway_Mine,,Operating,,,,Black Beauty Coal Company,Peabody,Production,2.7,3,Underground,Bord and Pillar,,373,Estimate,Bituminous,Thermal,220,41.74228675,-,-,-,-,-,-,15,Illinois Basin,Coulterville,,,Illinois,United States,US & Canada,38.16587,-89.639645,Exact,,,,2005,
M0526,Gaurandih Begunia Coal Mine,Cluster 4,https://www.gem.wiki/Cluster_No._4_(ECL),,Operating,,,,Eastern Coalfieds Limited (ECL),Coal india,Production,1,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,13,-,-,-,-,-,-,13,Paschim Bardhaman,,,,West Bengal,India,South Asia,23.805,87.02553,Exact,,,,,
M0143,Genesee Coal Mine,,https://www.gem.wiki/Genesee_coal_mine,,Operating,,,,Westmoreland Coal Company,Westmoreland,Production,5,,Surface,Open Pit,73,50,Estimate,Subbituminous,Thermal,160,74,72,2,-,-,-,-,15,,Warburg,,,Alberta,Canada,US & Canada,53.314555,-114.286386,Exact,,,,1988,
M1124,Gengcun Coal Mine,河南大有能源股份有限公司耿村煤矿,https://www.gem.wiki/Gengcun_Coal_Mine,https://www.gem.wiki/%E6%B2%B3%E5%8D%97%E5%A4%A7%E6%9C%89%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%80%BF%E6%9D%91%E7%85%A4%E7%9F%BF,Operating,,,,"Henan Dayou Energy Co.,Ltd","Yima Coal Industry Group Co., Ltd.",Capacity,4,,Underground,Longwall,12.7,490,Estimate,Bituminous,Thermal,3293,32,-,-,-,-,-,-,8,,Guoyuan Town,Mianchi County,Sanmenxia,Henan,China,East Asia,34.736678,111.763781,Exact,,,,1982,6.1
M0144,Gething Coal Mine,Gething Project,https://www.gem.wiki/Gething_coal_mine,,Proposed,Exploration,New,,CKD Mines,CKD Mines,Capacity,3,,Underground,Longwall,,59,Estimate,Bituminous,Met,773,-,-,-,-,-,-,780,,Peace River,Hudson's Hope,,,British Columbia,Canada,US & Canada,56.038803,-122.305087,Exact,,,,TBD,40
M0527,Gevra Coal Mine,,https://www.gem.wiki/Gevra_coal_mine,,Operating,,,,South Eastern Coalfields Limited (SECL),Coal India,Production,41,,Surface,Open Pit,40,50,Estimate,Subbituminous,Thermal,,1338,-,-,-,-,-,-,33,Korba,,,Korba,Chhattisgarh,India,South Asia,22.336312,82.545748,Exact,Coal Plant,Korba NTPC Power Station,https://www.gem.wiki/Korba_Super_Thermal_Power_Station_(NTPC),1981,
M1028,Gibson South Coal Mine,,https://www.gem.wiki/Gibson_South_Mine,,Operating,,,,Gibson County Coal,Alliance Resource Partners,Production,4.90,5.4,Underground,Bord and Pillar,,128,Exact,Bituminous,Thermal,342,56,48,8,2,-,-,-,11,Illinois Basin,Princeton,Gibson,,Indiana,United States,US & Canada,38.306456,-87.698623,Exact,,,,2006,
M1445,Giles Creek,,https://www.gem.wiki/Giles_Creek_mine,,Operating,,,,Birchfield Coal,Birchfield Coal,Production,0.13776,,Surface,Open Pit,2.35,50,Estimate,Subbituminous,Thermal,,16,-,-,-,-,-,-,,Inangahua,Cronadun,,,West Coast,New Zealand,Australia & NZ,-42.036799,171.799021,Exact,,,,1984,
M0042,Glendell Coal Mine,Mt Owen Complex,https://www.gem.wiki/Glendell_coal_mine,,Operating,,,,Mt Owen Pty,Glencore,Production,4.5,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,6,6,0,55,-,-,195,1,Hunter,Hebden,,,New South Wales,Australia,Australia & NZ,-32.395542,151.071668,Exact,,,,,
M0042,Glendell Coal Mine,"Glendell Continued Operations Project, Mt Owen Complex",https://www.gem.wiki/Glendell_coal_mine,,Proposed,Announced,Expansion,,Mt Owen,Glencore,Capacity,5.5,,Surface,Open Pit,6.60,59,Estimate,Bituminous,Thermal & Met,,6,6,-,-,-,-,-,1,Hunter,Hebden,,,New South Wales,Australia,Australia & NZ,-32.43544,151.065604,Exact,,,,2022,24
M0797,Glushinsky Coal Mine,Глушинский,https://www.gem.wiki/Glushinsky_coal_mine,,Proposed,Exploration,New,,SDS UGOL,Siberian Business Union-Coal (SBU),Capacity,2,,Surface,Open Pit,,59,Estimate,Subbituminous,Thermal,,6.61,-,-,-,-,-,-,3,,,,,Kemerovo,Russia,Eurasia,55.708642,86.076336,Exact,,,,TBD,
M0797,Glushinsky Coal Mine,Глушинский,https://www.gem.wiki/Glushinsky_coal_mine,,Operating,,,,Rover LLC,Siberian Business Union-Coal (SBU),Production,1,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,-,,,Razvedchik,,Kemerovsky,Kemerovo,Russia,Eurasia,55.708642,86.076336,Exact,,,,,
M0896,Goedehoop Coal Mine,"Vlaklaagte, Bank",https://www.gem.wiki/Goedehoop_coal_mine,,Operating,,,,Anglo American,Anglo American,Production,4.5,,Underground,Bord and Pillar,,80,Estimate,Bituminous,,,21,20,1,184,-,-,190,5,Witbank,Vandyksdrift,Emalahleni,Nkangala,Mpumalanga,South Africa,Africa & Middle East,-26.1033988,29.407282,Exact,Terminal (Export),Richards Bay Coal Terminal,https://www.gem.wiki/Richards_Bay_Coal_Terminal,1983,7
M0897,Goedgevonden Coal Mine,,https://www.gem.wiki/Goedgevonden_coal_mine,,Operating,,,,Goedgevonden Coal Ltd,"Glencore (50%), African Rainbow Minerals (ARM) (50%)",Production,7,,Surface,Open Pit,,59,Estimate,Bituminous,Thermal,350,206,-,-,-,-,-,-,29,Witbank,Ogies,Emalahleni,Nkangala,Mpumalanga,South Africa,Africa & Middle East,-26.09972,29.07316,Exact,,,,2004,21
M0528,Gokul Coal Mine,,https://www.gem.wiki/Gokul_Mine,,Operating,,,,Western Coalfields Limited (WCL),Coal India,Production,1.9,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,14.5,-,-,-,-,-,27,8,Nagpur,,,,Maharashtra,India,South Asia,20.6726,79.2972,Exact,,,,,
M0529,Gondegaon-Ghatrohana Coal Mine,,https://www.gem.wiki/Gondegaon_mine,,Operating,,,,Western Coalfields Limited (WCL),Coal India,Production,3.5,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,29.23,-,-,-,-,-,-,8,Nagpur,,,,Maharashtra,India,South Asia,21.26629731,79.19242476,Exact,,,,,
M0530,Gondulpara Coal Mine,,https://www.gem.wiki/Gondulpara_coal_mine,,Proposed,Pre-Permit,New,,Adani Group,Adani Group,Capacity,4,,Surface,Open Pit,4.10,50,Estimate,Lignite,Thermal,,117,-,-,-,-,-,-,29,North Karanpura,Phulang,,Hazaribagh,Jharkhand,India,South Asia,23.838673,85.305604,Exact,,,,TBD,
M0043,Goonyella-Riverside Coal Mine,"Goonyella-Riverside, Cleanskin, Broadmeadow, Eureka, Redhill, Isaac, Riverside",https://www.gem.wiki/Goonyella_Riverside_mine,,Operating,,,,"Queensland Coal, BHP Mitsubishi Alliance (BMA)","BHP (50%), Mitsubishi Corporation (50%)",Production,17.1,,Surface,Open Pit,,59,Estimate,Bituminous,Met,591,532,513,19,766,-,-,798,31,Bowen,Moranbah,,,Queensland,Australia,Australia & NZ,-21.792321,147.962045,Exact,Terminal (Export),Hay Point Coal Terminal,https://www.gem.wiki/Hay_Point_Coal_Terminal,1989,
M1264,Gorlovsky Coal Mine,Горловский,https://www.gem.wiki/Gorlovsky_coal_mine,,Operating,,,,Sibanthracite Group,Sibanthracite Group,Production,5,,Surface,Open Pit,,59,Estimate,Anthracite,Met,,24.3,-,-,-,-,-,-,5,,Belovo,,Iskitimsky,Novosibirsk,Russia,Eurasia,54.56819,83.58942,Exact,Terminal (Export),,,1976,
M0531,Gourangdih ABC Coal Mine,,https://www.gem.wiki/Gourangdih_ABC_Coal_Mine,,Proposed,Pre-Permit,New,,West Bengal Mineral Development and Trading Corporation,West Bengal Mineral Development and Trading Corporation,Capacity,2.5,,Surface,Open Pit,,50,Estimate,Lignite,Thermal,,24,24,-,-,-,-,-,10,Raniganj,Bhuiapara,,Paschim Bardhman,West Bengal,India,South Asia,23.815331,86.994805,Exact,,,,TBD,27
M0532,Gouthamkhani Coal Mine,,https://www.gem.wiki/Gouthamkhani_coal_mine,,Operating,,,,Singareni Collieries Company Limited (SCCL),Coal India,Production,4,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,71.01,10.04,-,-,-,-,-,18,Bhadradri Kothagudem,,,,Telangana,India,South Asia,17.2615,80.3738,Exact,,,,1993,
M1365,Govindpur Coal Mine,Kathara Mines,https://www.gem.wiki/Kathara_coal_mines,,Operating,,,,Central Coalfields Limited (CCL),Coal india,Production,0.06,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,,-,-,-,-,-,-,-,,Bokaro,,,,Jharkhand,India,South Asia,23.8056,85.8694,Exact,,,,,
M1278,Graspan Colliery,Part of Middleburg Complex (MBO),https://www.gem.wiki/Graspan_Colliery,,Operating,Care and Maintenance,,,Izimbiwa Coal,"Phembani, Glencore",Production,3,,Underground,,,80,Estimate,Bituminous,,,-,-,-,-,-,-,-,,,,Steve Tshwete,Nkangala,Mpumalanga,South Africa,Africa & Middle East,-25.780846,29.410789,Exact,,,,,
M0145,Grassy Mountain Coal Project,,https://www.gem.wiki/Grassy_Mountain_Coal_Project,,Proposed,Pre-Permit,New,,Benga Mining,Riversdale Resources,Capacity,4.5,,Surface,Open Pit,15.20,59,Estimate,Bituminous,Met,385,93,-,-,-,-,-,-,21,,Blairmore,,,Alberta,Canada,US & Canada,49.68924,-114.41896,Approximate,,,,TBD,
M0898,Greater Soutpansberg Coal Project,"Chapudi, Mopane, Generaal",https://www.gem.wiki/Greater_Soutpansberg_Project,,Proposed,Pre-Permit,New,,,"MC Mining (74%), Black Economic Empowerment (26%)",Capacity,16.4,,Surface,Mixed,,59,Estimate,Bituminous,Thermal & Met,,1051,-,-,-,-,-,-,64,Soutpansberg,Mudimeli,Makhado,Vhembe,Limpopo,South Africa,Africa & Middle East,-22.881211,29.661589,Approximate,,,,TBD,
M0146,Greenhills Coal Mine,,https://www.gem.wiki/Greenhills_Mine,,Operating,,,,Teck Coal,"Teck Resources (80%), POSCO (20%)",Production,5.4,,Surface,Open Pit,118.06,59,Estimate,Bituminous,Met,600,295,12,283,179,227,406,574,55,,Elkford,,,British Columbia,Canada,US & Canada,50.20028,-115.0083,Exact,,,,,28
M0899,Greenside Coal Mine,,https://www.gem.wiki/Greenside_coal_mine,,Operating,,,,Anglo American,Anglo American,Production,4.8,,Underground,,,80,Estimate,Bituminous,,,36.9,9,28,22,1,23,23,8,Witbank,Emalahleni,,Witbank,Mpumalanga,South Africa,Africa & Middle East,-25.960979,29.18545,Exact,,,,,
M0044,Gregory Crinum Coal Mines,"Gregory, Crinum",https://www.gem.wiki/Gregory_Crinum_mine,,Proposed,Announced,Recommission,,Sojitz Corporation,Sojitz Corporation,Capacity,3,,Underground & Surface,Mixed,,85,Exact,Bituminous,Met,,27,-,-,-,-,-,182,9,,Emerald,,,Queensland,Australia,Australia & NZ,-23.1491384,148.3875874,Exact,,,,1979,
M0900,Grootegeluk Coal Mine,,https://www.gem.wiki/Grootegeluk_coal_mine,,Operating,,,,Exxaro Coal,Exxaro,Production,29.7,,Surface,Open Pit,8.50,59,Estimate,Bituminous,Thermal & Met,3200,3165,2520,645,-,-,-,-,107,Waterberg,,Lephalale,Waterberg,Limpopo,South Africa,Africa & Middle East,-23.657141,27.566687,Exact,Coal Plant,Medupi Power Station,https://www.gem.wiki/Medupi_Power_Station,1980,35
M0045,Grosvenor Coal Mine,,https://www.gem.wiki/Grosvenor_coal_project,,Operating,Care and Maintenance,,,Anglo American,Anglo American,Production,4.7,,Underground,Longwall,,500,Estimate,Bituminous,Met,,123.5,30.8,92.7,-,-,-,198.7,26,,Moranbah,,,Queensland,Australia,Australia & NZ,-21.871331,147.956742,Exact,,,,2016,
M0130,Guaíba Coal Mine,Mina de Guaíba,https://www.gem.wiki/Gua%C3%ADba_Mine,https://www.gem.wiki/Mina_de_Gua%C3%ADba,Proposed,Pre-Permit,New,,COPELMI,COPELMI,Capacity,4.7,,Surface,Open Pit,,50,Estimate,Subbituminous,Thermal,1154,166,-,-,-,-,-,-,35,Charqueadas,"Eldorado do Sul, Charqueadas",,,Rio Grande do Sul,Brazil,Latin America,-30.015319,-51.532337,Approximate,,,,2023,30
M1125,Guandi Coal Mine,山西焦煤集团有限责任公司官地煤矿,https://www.gem.wiki/Guandi_Coal_Mine,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%84%A6%E7%85%A4%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%AE%98%E5%9C%B0%E7%85%A4%E7%9F%BF,Operating,,,,"Shanxi Coking Coal Group Co.,Ltd.","Shanxi Coking Coal Group Co.,Ltd.",Capacity,3.9,,Underground,Longwall,104.5,490,Estimate,Bituminous,Thermal,4923,826.08,-,-,-,-,-,-,212,Xishan,Baijiazhuang Road,Wanbailin District,Taiyuan,Shanxi,China,East Asia,37.816775,112.407005,Exact,,,,1960,118
M0223,Guangdao Coal Mine,山西洪洞西山光道煤业有限公司,https://www.gem.wiki/Guangdao_coal_mine,https://www.gem.wiki/山西洪洞西山光道煤业有限公司,Proposed,Construction,New,,Shanxi Hongdong Xishan Guangdao Coal Industry Company,"Shanxi Coking Coal Group (27%), Hongdong Pingan Hengli Building Material Company (49%), Others (24%)",Capacity,1.2,,Underground,,16.70,490,Estimate,Bituminous,Met,75,-,-,-,-,-,-,-,,,Donglongmen Village,Hongdong County,Linfen,Shanxi,China,East Asia,36.504525,111.38717,Approximate,,,,,
M1126,Guantun Coal Mine,延安市华龙煤业有限公司贯屯煤矿,https://www.gem.wiki/Guantun_Coal_Mine,https://www.gem.wiki/延安市华龙煤业有限公司贯屯煤矿,Operating,,,,Yan'an Hualong Coal Industry Co.,"Hongkong Tianrong Investment and Trade Company (87.12%), Shaanxi Hualong Energy Investment Group (12.88%）",Capacity,3,,Underground,,110.198,490,Estimate,Bituminous,,,100.29,-,-,-,-,-,-,33,,Panlong Town,Baota,Yan'an,Shaanxi,China,East Asia,36.984123,109.55498,Exact,,,,,25.7
M0224,Guanzigou Coal Mine,内蒙古满世煤炭集团罐子沟煤炭有限责任公司（罐子沟煤矿）,https://www.gem.wiki/Guanzigou_Coal_Mine,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%BB%A1%E4%B8%96%E7%85%A4%E7%82%AD%E9%9B%86%E5%9B%A2%E7%BD%90%E5%AD%90%E6%B2%9F%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%EF%BC%88%E7%BD%90%E5%AD%90%E6%B2%9F%E7%85%A4%E7%9F%BF%EF%BC%89,Operating,,,,Guanzigou Coal Company of Inner Mongolia Manshi Coal Group,Inner Mongolia Manshi Coal Group,Capacity,6,,Underground,,17.17,490,Estimate,Bituminous,,,208,-,-,-,-,-,-,35,,Longkou Town,Jungar Banner,Ordos,Inner Mongolia,China,East Asia,39.549676,111.29482,Exact,,,,2008,
M1127,Gubei Coal Mine,淮浙煤电有限责任公司顾北煤矿,https://www.gem.wiki/Gubei_Coal_Mine,https://www.gem.wiki/%E6%B7%AE%E6%B5%99%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%A1%BE%E5%8C%97%E7%85%A4%E7%9F%BF,Operating,,,,"Huaizhe Coal & Electricity Co., Ltd.","Huaihe Energy Holding Group Co., Ltd.",Capacity,4,,Underground,Longwall,34.0139,1000,Exact,Bituminous,Thermal & Met,3542,275.853,-,-,-,-,-,-,69,Huainan,Guqiao Town,Fengtai,Huainan,Anhui,China,East Asia,32.821599,116.543629,Exact,,,,2007,49.3
M0225,Guizhou Dawan Coal Mine,贵州水城矿业股份有限公司大湾煤矿中井,https://www.gem.wiki/Guizhou_Dawan_Coal_Mine_(Middle_Mine),https://www.gem.wiki/贵州水城矿业股份有限公司大湾煤矿中井,Proposed,Construction,New,,Guizhou Shuicheng Mining Company,"Guizhou Shuicheng Coal Mine Group (62%), China Cinda Asset Management Company (20%)",Capacity,1,,Underground,,5.80,490,Estimate,Bituminous,,,99.50,-,-,-,-,-,-,99,,Dawan Town,Zhongshan,Liupanshui,Guizhou,China,East Asia,26.779016,104.612282,Exact,,,,,30
M0226,Guojiahe Coal Mine,陕西郭家河煤业有限责任公司郭家河煤矿,https://www.gem.wiki/Guojiahe_Coal_Mine,https://www.gem.wiki/%E9%99%95%E8%A5%BF%E9%83%AD%E5%AE%B6%E6%B2%B3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%83%AD%E5%AE%B6%E6%B2%B3%E7%85%A4%E7%9F%BF,Operating,,,,Shaanxi Guojiahe Coal Industry Company,"Xuzhou Coal Mining Group (60%), Shaanxi Investment Group (33%), Baoji State-Owned Assets Management Company (8%)",Capacity,5,,Underground,,94.61,490,Estimate,Bituminous,Thermal,,404,-,-,-,-,-,-,81,,,Linyou County,Baoji,Shaanxi,China,East Asia,34.85669,107.539367,Exact,,,,2016,81
M0227,Guojiatan Coal Mine,陕西榆林能源集团有限公司郭家滩煤矿,https://www.gem.wiki/Guojiatan_coal_mine,https://www.gem.wiki/陕西榆林能源集团有限公司郭家滩煤矿,Proposed,Construction,New,,Shaanxi Yulin Energy Group,State-Owned Assets Supervision and Administration Commission of Yulin Municipal People's Government,Capacity,10,,Underground,,201.60,490,Estimate,Subbituminous,Thermal,75,1190,-,-,-,-,-,-,119,Yushen,Mengjiawan Town,Yuyang District,Yulin,Shaanxi,China,East Asia,38.611469,109.809687,Exact,,,,,
M1128,Guojiawan Coal Mine,榆林神华能源有限责任公司府谷县郭家湾煤矿,https://www.gem.wiki/Fugu_Guojiawan_mine,https://www.gem.wiki/%E6%A6%86%E6%9E%97%E7%A5%9E%E5%8D%8E%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%BA%9C%E8%B0%B7%E5%8E%BF%E9%83%AD%E5%AE%B6%E6%B9%BE%E7%85%A4%E7%9F%BF,Operating,,,,Yulin Shenhua Energy,"National Energy Investment Group (37%), Shaanxi Coal and Chemical Group (18%), Fugu State-Owned Asset Management and Operation Company (21%), Others (24%)",Capacity,8,,Underground,,119.21,490,Estimate,Bituminous,Thermal,,769,-,-,-,-,-,-,96,,Dachanghan Town,Fugu County,Yulin,Shaanxi,China,East Asia,39.278743,110.39397,Exact,,,,2017,70
M0229,Guqiao Coal Mine,淮南矿业（集团）有限责任公司顾桥煤矿,https://www.gem.wiki/Guqiao_Coal_Mine,https://www.gem.wiki/%E6%B7%AE%E5%8D%97%E7%9F%BF%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%A1%BE%E6%A1%A5%E7%85%A4%E7%9F%BF,Operating,,,,Huainan Mining Group,"Huaihe Energy Holding Group Company (83%), China Cinda Asset Management Company (8%), National Energy Investment Group (3%), Others (6%)",Capacity,9,,Underground,,92.89,490,Estimate,Bituminous,Thermal,,822,-,-,-,-,-,-,91,,Guqiao Town,Fengtai County,Huainan,Anhui,China,East Asia,32.821408,116.545709,Exact,,,,2007,79
M1382,Ha Tu Coal Mine,,https://www.gem.wiki/Ha_Tu_Coal_Mine,,Operating,,,,Ha Tu Coal JSC,Vietnam National Coal (Vinacomin),Production,1.5,,Surface,Open Pit,,59,Estimate,Anthracite,,,45,-,-,-,-,-,-,30,Hong Gai,Hà Phong,,Hạ Long,Quảng Ninh,Vietnam,South East Asia,20.994298,107.150688,Exact,,,,1955,
M0230,Haerwusu Surface Mine,中国神华能源股份有限公司哈尔乌素分公司（哈尔乌素露天矿）,https://www.gem.wiki/Haerwusu_Surface_Mine,https://www.gem.wiki/中国神华能源股份有限公司哈尔乌素分公司（哈尔乌素露天矿）,Operating,,,,China Shenhua Energy,"National Energy Investment Group (69%), HKSCC Nominees Limited (17%), Others (14%)",Production,24,,Surface,Open Pit,67.17,50,Estimate,Lignite,Thermal,,1731,-,-,-,-,-,-,72,,Xuejiawan Town,Jungar Banner,Ordos,Inner Mongolia,China,East Asia,39.850563,111.329362,Exact,,,,2008,79
M0046,Hail Creek Coal Mine,,https://www.gem.wiki/Hail_Creek_coal_mine,,Operating,,,,Glencore,"Glencore (82%), NSSMC (8%), Marubeni (7%), Sumitomo (3%)",Production,9.4,,Surface,Open Pit,210,59,Estimate,Bituminous,Thermal & Met,436,195,120,75,720,-,-,1620,21,Bowen,Glenden,,,Queensland,Australia,Australia & NZ,-21.484811,148.37,Exact,Terminal (Export),Dalrymple Bay Coal Terminal,https://www.gem.wiki/Dalrymple_Bay_Coal_Terminal,2003,19
